Iterations,N. Birds,Run,Target function,Type,Error,Point,Time (s)
1000,100,10,Styblinski,Parallel,14.136719924929395,[-2.9035306 -2.9035153  2.7468889 -2.9033258 -2.9035077],0.4470486640930176
1000,100,10,Styblinski,Iterative,7.0619688017359294e-06,[-2.9033809 -2.9037333 -2.903645  -2.9035091 -2.9035563],2.3400466442108154
1000,100,11,Styblinski,Parallel,0.0049116545179117566,[-2.9187083 -2.9009278 -2.9049046 -2.9081786 -2.9082572],0.47620058059692383
1000,100,11,Styblinski,Iterative,14.136716217984201,[-2.9037378 -2.9035764  2.74676   -2.9037454 -2.903131 ],2.3457906246185303
1000,100,12,Styblinski,Parallel,7.744669517251168e-06,[-2.9038563 -2.9034252 -2.9032538 -2.903826  -2.9031236],0.4775519371032715
1000,100,12,Styblinski,Iterative,14.136755914677622,[-2.904523   2.7460694 -2.9032722 -2.9026184 -2.9031112],2.352163076400757
1000,100,13,Styblinski,Parallel,0.00019259316295006101,[-2.9041247 -2.9003937 -2.903145  -2.902793  -2.9030466],0.4561285972595215
1000,100,13,Styblinski,Iterative,0.0002839279069917211,[-2.9008043 -2.9014637 -2.9022932 -2.9045684 -2.9051423],2.354835271835327
1000,100,14,Styblinski,Parallel,2.1073894629353163e-06,[-2.9035594 -2.903494  -2.9033136 -2.9037242 -2.9033473],0.4440631866455078
1000,100,14,Styblinski,Iterative,7.658015249489836e-06,[-2.9035306 -2.9036694 -2.9034863 -2.9036312 -2.9033701],2.306957244873047
1000,100,15,Styblinski,Parallel,1.4239755472544857e-05,[-2.9038868 -2.9037302 -2.9040127 -2.903428  -2.9041822],0.45247387886047363
1000,100,15,Styblinski,Iterative,4.320155142067961e-06,[-2.9033043 -2.9035153 -2.903549  -2.9039686 -2.9035764],2.3484320640563965
1000,100,16,Styblinski,Parallel,1.109072400140576e-06,[-2.9033258 -2.9035275 -2.9033916 -2.9035535 -2.9035428],0.45892906188964844
1000,100,16,Styblinski,Iterative,8.373270986794523e-06,[-2.9035642 -2.903329  -2.9034467 -2.903587  -2.9034817],2.354532241821289
1000,100,17,Styblinski,Parallel,14.136719468263777,[-2.903593  -2.9033945  2.7467813 -2.9035153 -2.903558 ],0.4756753444671631
1000,100,17,Styblinski,Iterative,14.136711807240488,[-2.9036632 -2.903587   2.7469163 -2.9035397 -2.903561 ],2.32492995262146
1000,100,18,Styblinski,Parallel,1.4234935292734008e-06,[-2.9036572 -2.9033778 -2.9036524 -2.9036722 -2.903436 ],0.46147680282592773
1000,100,18,Styblinski,Iterative,7.658015249489836e-06,[-2.9036024 -2.9036968 -2.9034328 -2.9037485 -2.9035199],2.3385097980499268
1000,100,19,Styblinski,Parallel,4.3204207145208784e-07,[-2.9035916 -2.903549  -2.9036298 -2.903555  -2.9034252],0.4562668800354004
1000,100,19,Styblinski,Iterative,8.611689565896086e-06,[-2.9033916 -2.9035854 -2.9034314 -2.9035382 -2.903491 ],2.3345999717712402
1000,100,20,Styblinski,Parallel,1.9972928839706583e-06,[-2.9038107 -2.903491  -2.903491  -2.9033837 -2.9036465],0.437985897064209
1000,100,20,Styblinski,Iterative,7.5388059599390544e-06,[-2.9035275 -2.9035642 -2.9034817 -2.9036708 -2.9037454],2.322413682937622
1000,100,21,Styblinski,Parallel,14.136720696801774,[-2.9033427  2.7468078 -2.903494  -2.9036145 -2.903759 ],0.4687333106994629
1000,100,21,Styblinski,Iterative,7.0619688017359294e-06,[-2.903558  -2.903817  -2.903645  -2.9035535 -2.9036098],2.3596417903900146
1000,100,22,Styblinski,Parallel,3.601405467179575e-07,[-2.903523  -2.903462  -2.9035199 -2.903448  -2.903445 ],0.4869081974029541
1000,100,22,Styblinski,Iterative,8.96931743454843e-06,[-2.903575  -2.903645  -2.9034817 -2.9033902 -2.9034772],2.355034351348877
1000,100,23,Styblinski,Parallel,9.390899151640042e-07,[-2.9033902 -2.9035764 -2.9035015 -2.9036298 -2.903387 ],0.47011280059814453
1000,100,23,Styblinski,Iterative,14.136712164868356,[-2.903575  -2.903721   2.7466676 -2.903494  -2.9034328],2.3793439865112305
1000,100,24,Styblinski,Parallel,4.467764216609112,[-2.81645   -3.218961  -2.787695  -2.8226771 -3.2336893],0.49243712425231934
1000,100,24,Styblinski,Iterative,2.2343283605470674,[-3.123622  -2.9871945 -2.777628  -2.6882324 -3.0097008],2.3446691036224365
1000,100,25,Styblinski,Parallel,14.136719453944636,[ 2.7467644 -2.9035032 -2.903523  -2.9036465 -2.903442 ],0.4549698829650879
1000,100,25,Styblinski,Iterative,8.01564311814218e-06,[-2.9035122 -2.903491  -2.9034495 -2.9035382 -2.9035304],2.32633113861084
1000,100,26,Styblinski,Parallel,2.709236776983971,[-2.8924823 -2.9653625 -3.1395073 -3.1484137 -2.7329116],0.5000054836273193
1000,100,26,Styblinski,Iterative,2.5637331914796846,[-2.8899918 -2.6372938 -2.6235805 -2.817132  -2.973135 ],2.3665411472320557
1000,100,27,Styblinski,Parallel,2.220348847004061e-06,[-2.9037728 -2.9037743 -2.903422  -2.903567  -2.9035275],0.4779517650604248
1000,100,27,Styblinski,Iterative,2.9516115205296956e-06,[-2.9036646 -2.903867  -2.9029577 -2.903858  -2.9032094],2.3408854007720947
1000,100,28,Styblinski,Parallel,4.330183571710222e-07,[-2.9036326 -2.9035428 -2.9034314 -2.9035275 -2.9036024],0.45107579231262207
1000,100,28,Styblinski,Iterative,14.136711688031198,[-2.9036815 -2.903549   2.74683   -2.9035199 -2.9036205],2.340744733810425
1000,100,29,Styblinski,Parallel,14.13671932784078,[-2.9035397  2.7467918 -2.9034405 -2.9034772 -2.9035976],0.44655752182006836
1000,100,29,Styblinski,Iterative,14.136711807240488,[-2.9035337 -2.9035184 -2.9034817  2.7468064 -2.903753 ],2.3339602947235107
1000,100,30,Styblinski,Parallel,14.13671924280328,[-2.903561  -2.9035625  2.7467988 -2.903567  -2.9036267],0.49006009101867676
1000,100,30,Styblinski,Iterative,14.136711688031198,[ 2.746972 -2.903491 -2.903523 -2.903468 -2.903642],2.420849084854126
1000,100,1,f8,Parallel,10696.975561233765,[ 424.68445  440.07214 -317.44733  421.0638   405.76376],2.8613574504852295
1000,100,1,f8,Iterative,10843.164627075195,[435.5396  404.48087 473.0391  417.15607 423.34174],2.4866809844970703
1000,100,2,f8,Parallel,10593.023908498686,[ 420.968   -302.52927  420.97464  420.9691   420.97394],0.5038199424743652
1000,100,2,f8,Iterative,10829.900390625,[ 420.96768  420.9691  -302.51547 -302.54108 -302.5327 ],2.3790204524993896
1000,100,3,f8,Parallel,10743.200663914871,[385.12866 410.63947 405.07025 411.41565 443.5163 ],0.5412030220031738
